site_code,pft_f1,pft_c1,pft_f2,pft_c2,pft_f3,pft_c3,pft_f4,pft_c4,pft_f5,pft_c5
site15,100,9,0,0,0,0,0,0,0,0
site16,100,13,0,0,0,0,0,0,0,0
site18,100,1,0,0,0,0,0,0,0,0
site22,100,1,0,0,0,0,0,0,0,0
site23,100,13,0,0,0,0,0,0,0,0
site24,100,1,0,0,0,0,0,0,0,0
site25,100,7,0,0,0,0,0,0,0,0
site26,100,13,0,0,0,0,0,0,0,0
site28,100,9,0,0,0,0,0,0,0,0
site29,100,13,0,0,0,0,0,0,0,0
site31,100,9,0,0,0,0,0,0,0,0
site32,100,45,0,0,0,0,0,0,0,0
site34,100,45,0,0,0,0,0,0,0,0
site36,100,13,0,0,0,0,0,0,0,0
site38,100,7,0,0,0,0,0,0,0,0
site39,100,13,0,0,0,0,0,0,0,0
site3,100,7,0,0,0,0,0,0,0,0
site21,100,17,0,0,0,0,0,0,0,0
site17,100,15,0,0,0,0,0,0,0,0
site9,100,7,0,0,0,0,0,0,0,0
site10,50,13,50,14,0,0,0,0,0,0
site11,50,13,50,14,0,0,0,0,0,0
site19,100,15,0,0,0,0,0,0,0,0
site20,100,15,0,0,0,0,0,0,0,0
site30,100,10,0,0,0,0,0,0,0,0
site33,100,14,0,0,0,0,0,0,0,0
site35,100,7,0,0,0,0,0,0,0,0
site37,100,7,0,0,0,0,0,0,0,0
GUAN,100,6,0,0,0,0,0,0,0,0
WOOD,100,13,0,0,0,0,0,0,0,0
YELL,100,1,0,0,0,0,0,0,0,0
SRER,100,9,0,0,0,0,0,0,0,0
TEAK,100,1,0,0,0,0,0,0,0,0
KNOZ,100,14,0,0,0,0,0,0,0,0
ONAQ,100,9,0,0,0,0,0,0,0,0
HARV,100,7,0,0,0,0,0,0,0,0
STER,100,19,0,0,0,0,0,0,0,0
OAES,100,14,0,0,0,0,0,0,0,0
JORN,100,14,0,0,0,0,0,0,0,0
BLAN,100,7,0,0,0,0,0,0,0,0
SCBI,100,7,0,0,0,0,0,0,0,0
SERC,100,7,0,0,0,0,0,0,0,0
DSNY,100,14,0,0,0,0,0,0,0,0
JERC,100,1,0,0,0,0,0,0,0,0
OSBS,100,1,0,0,0,0,0,0,0,0
TREE,100,7,0,0,0,0,0,0,0,0
UNDE,100,7,0,0,0,0,0,0,0,0
KONA,100,19,0,0,0,0,0,0,0,0
UKFS,100,7,0,0,0,0,0,0,0,0
MLBS,100,7,0,0,0,0,0,0,0,0
ORNL,100,7,0,0,0,0,0,0,0,0
DCFS,100,13,0,0,0,0,0,0,0,0
NOGP,100,13,0,0,0,0,0,0,0,0
LENO,100,7,0,0,0,0,0,0,0,0
TALL,100,1,0,0,0,0,0,0,0,0
ABBY,100,1,0,0,0,0,0,0,0,0
SOAP,100,1,0,0,0,0,0,0,0,0
CLBJ,100,7,0,0,0,0,0,0,0,0
