,GPP_S4_mean,GPP_S4_std,ET_S4_mean,ET_S4_std
20200715,0.5607336802964338,0.5862094888678623,3.606957764357894,0.7424513188996188
20200722,0.7523681954569781,0.46905880253039345,0.9723142256303055,0.14828301705358504
20200729,1.0010431700575788,0.6751475494276491,0.8564900910831933,0.11520342949712313
20200805,1.769580393023299,1.2088659671222657,3.3287583853373657,0.21658281363351745
20200812,2.9733549627463827,1.6392732318862746,1.7299271184860268,0.3271984473882884
20200819,1.9037203915392003,1.338772298634414,1.08337096933632,0.1587551609845774
20200824,0.5859763801661712,0.5457384926892414,0.3684806459738218,0.07510908744143437
20200825,4.042220572604057,2.9074249180445837,3.9272722252863552,0.4340588346578752
20200826,3.4953330951608117,1.949675473443233,3.390541931913275,0.45965672092350895
20200828,4.151339778903357,2.117450227312108,2.8440622119385077,0.3664516633351728
20200831,3.6539783622165007,1.2601914764714803,1.350266915724548,0.18726237918997737
20200902,5.038216551956772,2.7607591823173934,1.442712781559518,0.15112067666441892
20200905,2.81800564904838,1.342578266478939,0.8790693070808039,0.12717931706745444
20200910,1.6093397981383715,1.0192436416458421,0.6976948753025304,0.08893712346260108
20200914,1.0515688309606777,1.1605653356541528,0.5618494072625035,0.08925948262947181
20200916,4.184671925603765,2.1343120591963065,4.367444754206113,0.374453791249896
20200923,4.1069408452537,2.8809480003891017,1.9939361604955819,0.3566254115308805
20200930,1.3082819575953188,1.1272745008495002,1.0078247807691125,0.18473315179629596
