,GPP_S2_mean,GPP_S2_std,ET_S2_mean,ET_S2_std
20200715,0.4608789560107813,0.5051178072219287,3.6813639245908423,0.483714025336973
20200722,1.0886926208679473,1.0523071161567694,3.0294290879048797,0.3922425262955325
20200729,2.9358017299639565,1.5350571071313834,4.124906603667121,0.3251958880690157
20200805,3.0595733055229504,1.5645942004613163,3.0375497826470843,0.5514500950038964
20200812,3.298807145548664,1.2562329720694243,2.4803817545847258,0.30982534499854647
20200819,3.5089974141235203,0.9161333558118963,2.7099736865395196,0.31673879892702994
20200824,1.7273741518937251,0.8171949513092821,0.6340989813026644,0.11987055319951041
20200825,4.1180200544541,1.5233202112189312,2.700148082390041,0.1736600091137206
20200826,2.6667162646897564,1.2666200664304272,1.6321255660039713,0.2531706051389012
20200828,2.194449651181982,0.7555200529153584,1.4557382819139122,0.13441556810376531
20200831,1.694141091863881,0.7871603596967199,0.6920931895886198,0.160521457839171
20200902,4.204626066359161,1.5402889196918899,2.244720842028437,0.2732521783147366
20200910,2.7439073985796982,0.9721422442269004,1.3167704667438165,0.2342353087575806
20200916,2.119579164023552,0.5130568098130657,1.8975192055188068,0.12225859089608124
20200923,1.2371230304351633,0.6982705237932215,1.3736597773091004,0.1671515572683024
20200930,1.3239851150612334,0.7374371924641594,1.6153768532472497,0.09327150558141933
