,SR_S1,SR_std_S1,SR_S2,SR_std_S2,SR_S3,SR_std_S3,SR_S4,SR_std_S4
20200702,0.7464960000000002,0.0,0.5971968000000001,0.19841654186523863,0.7524205714285713,0.3732832636403073,0.7524205714285713,0.05425917753801693
20200703,0.6684631578947368,0.06805975083337719,0.5262653793103449,0.15396670006394325,0.5189868679245283,0.05417087301118451,0.5189868679245283,0.08290061291270272
20200704,0.5434051764705883,0.042978318972183405,0.45140676923076917,0.08180116825021871,0.521946947368421,0.05709966674570801,0.521946947368421,0.09299273915360735
20200705,0.716544,0.08007850228369655,0.48885119999999993,0.09799131332602906,0.5234052413793103,0.04995527914642163,0.5234052413793103,0.07996246957193608
20200706,0.763776,0.05945927224579862,0.416664,0.11222005553375916,0.5023296,0.037736529112254086,0.5023296,0.07733721866837466
20200707,,,0.5671296,0.19618820432798703,0.524710956521739,0.06396667163961464,0.524710956521739,0.05923804908555933
20200708,1.0257408,1.41449549890813,1.1041919999999998,1.4222440154823197,1.3400215081967213,2.0984479094525375,1.3400215081967213,1.2727645866559836
20200709,4.142946461538462,1.3364003919503382,3.1756963404255316,1.541183293785755,2.987264,1.019768440790359,2.987264,0.6304764291222106
20200710,2.705542243902439,0.8971647030539553,1.8245474042553191,0.9086147795486728,2.0353898426966293,0.8744642076398359,2.0353898426966293,0.5170892545080086
20200711,2.3426742857142853,1.0150784924940133,1.9046879999999995,1.0802017251606293,1.3377024,0.4779936060733867,1.3377024,0.26809136488712204
20200712,1.8318485853658535,0.3561041935565143,2.2361624150943396,0.8494212619854531,1.0839922758620688,0.31149950172882007,1.0839922758620688,0.15511686940075245
20200713,2.246832,0.9029092473731787,1.295007319148936,0.37927512401315755,0.879228,0.19507057344458698,0.879228,0.1303548367802284
20200714,1.4139359999999996,0.16187899480785015,1.0771806315789472,0.2804487713640427,0.8009279999999999,0.1927107404998486,0.8009279999999999,0.10314938596036334
