,GPP_S1_mean,GPP_S1_std,ET_S1_mean,ET_S1_std
20200715,0.8184237361701321,0.5595194213770437,3.596229390041543,0.5138987212817845
20200722,1.3638123190028466,0.8745510216545757,2.2046833437334157,0.325195413330478
20200729,2.6174586360786916,1.0337373272321606,2.7963864125153464,0.39329526175513435
20200805,2.3626207307374867,0.8322888482192312,2.071226663338598,0.359575616541379
20200812,2.5407526978482142,0.3864836058394089,1.7141257968547632,0.14047436393926982
20200819,1.53087133621248,0.4474437285941252,1.3435878650572797,0.1643175574353872
20200824,0.4872795791358743,0.48394928210208144,0.4270060186209192,0.10824967953827064
20200825,3.1278201621681885,0.9267015746933278,2.0151504401939575,0.14353390706733482
20200826,1.3226060457492526,0.2611502294799831,1.162851815863565,0.15444289138022796
20200902,2.4106662827296113,0.5104420794180474,1.3852447392485392,0.10657302650127908
20200910,1.0847961707350915,0.5857620479390975,0.7447466714470264,0.09683743943547835
20200916,0.9155166131572612,0.4617145381247101,0.924679287169555,0.08785403440627534
20200923,0.9451504666981414,0.4125091960492151,0.9007833012321158,0.025224305575533578
20200930,0.6726340429206898,0.6472601948719667,0.8728269136127734,0.08923764924920433
