,GPP_S3_mean,GPP_S3_std,ET_S3_mean,ET_S3_std
20200715,0.8804693816727722,0.6846789288736286,3.8988370387234204,0.5307656573347871
20200722,1.081653055563913,0.6612927810035775,1.030550353025705,0.22151604018783272
20200729,2.437430157847098,1.1560565450502571,4.580970684461776,0.6238594139977072
20200805,2.3068002287416634,1.1021022090535173,1.4569019096974147,0.13302618069803765
20200812,3.889763909377451,1.9801008332383179,3.338863772682531,0.16573856619106575
20200819,1.83485165988096,0.7749535172660219,1.14241276751616,0.09080670787621453
20200824,0.7142825101308881,0.6727286973666405,0.377349466540144,0.05832898804306342
20200825,4.995712269226736,2.4414959364463344,3.802467078834302,0.16855930542544684
20200826,3.692739860023118,2.475209767293314,3.2646963739545325,0.8698202253679889
20200828,4.287593993415138,1.990280927902896,2.369411709024094,0.3516699640259485
20200831,2.6798485302190413,0.5762306194752082,0.9259657107132847,0.14386582057206337
20200902,2.886458318285509,0.8645795163140647,0.9998116719563407,0.05387364208864036
20200905,1.6402534622918736,0.34736430518063793,0.5664454852637906,0.04153390552074371
20200910,3.8130948540756116,1.580878048865968,2.1539871754181332,0.2192061595036476
20200916,1.2696308050962626,0.507873259256528,1.029940357320337,0.050566928439659084
20200923,3.1311542991870356,1.0955779541463457,2.774013442668834,0.13854350500766105
20200930,1.0720637433046485,0.8081116451851594,0.7858257532004967,0.10060979455131505
